V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000331497	この工場では魚を加工している。	加工	この 工場[こうじょう]では 魚[さかな]を 加工[かこう]している。	
V0000331498	赤ちゃんにミルクをあげた。	ミルク	赤[あか]ちゃんにミルクをあげた。	
V0000331499	今月と先月の売上を比べた。	比べる	今月[こんげつ]と 先月[せんげつ]の 売上[うりあげ]を 比[くら]べた。	
V0000331500	彼は同僚を批判した。	批判	彼[かれ]は 同僚[どうりょう]を 批判[ひはん]した。	
V0000331501	最近、彼の評価が上がった。	評価	最近[さいきん]、 彼[かれ]の 評価[ひょうか]が 上[あ]がった。	
V0000331502	このアンケートは大学生が対象です。	対象	このアンケートは 大学生[だいがくせい]が 対象[たいしょう]です。	
V0000331503	サラダをたくさん食べました。	サラダ	サラダをたくさん 食[た]べました。	
V0000331504	冷蔵庫が故障しました。	故障	冷蔵庫[れいぞうこ]が 故障[こしょう]しました。	
V0000331505	車を修理に出した。	修理	車[くるま]を 修理[しゅうり]に 出[だ]した。	
V0000331506	次の駅で地下鉄に乗り換えます。	乗り換える	次[つぎ]の 駅[えき]で 地下鉄[ちかてつ]に 乗[の]り 換[か]えます。	
V0000331507	次の駅で乗り換えです。	乗り換え	次[つぎ]の 駅[えき]で 乗[の]り 換[か]えです。	
V0000331508	昨日おじさんに会いました。	おじさん	昨日[きのう]おじさんに 会[あ]いました。	
V0000331509	車のタイヤを換えた。	換える	車[くるま]のタイヤを 換[か]えた。	
V0000331510	彼はきれいな服に着替えた。	着替える	彼[かれ]はきれいな 服[ふく]に 着替[きが]えた。	
V0000331511	帽子を被って外出した。	被る	帽子[ぼうし]を 被[かぶ]って 外出[がいしゅつ]した。	
V0000331512	彼は約束を破った。	破る	彼[かれ]は 約束[やくそく]を 破[やぶ]った。	
V0000331513	ベルトがきつくなりました。	ベルト	ベルトがきつくなりました。	
V0000331514	シャツが破れている。	破れる	シャツが 破[やぶ]れている。	
V0000331515	彼女が私のケータイを壊した。	壊す	彼女[かのじょ]が 私[わたし]のケータイを 壊[こわ]した。	
V0000331516	会社のパソコンが壊れた。	壊れる	会社[かいしゃ]のパソコンが 壊[こわ]れた。	
V0000331517	誰か救急車を呼んでください。	救急車	誰[だれ]か 救急車[きゅうきゅうしゃ]を 呼[よ]んでください。	
V0000331518	夕食にラーメンを食べました。	ラーメン	夕食[ゆうしょく]にラーメンを 食[た]べました。	
V0000331519	彼女は病気の犬を助けた。	助ける	彼女[かのじょ]は 病気[びょうき]の 犬[いぬ]を 助[たす]けた。	
V0000331520	彼は立派な人です。	立派	彼[かれ]は 立派[りっぱ]な 人[ひと]です。	
V0000331521	警察を呼んでください。	警察	警察[けいさつ]を 呼[よ]んでください。	
V0000331522	彼女が私のスケジュールを管理している。	管理	彼女[かのじょ]が 私[わたし]のスケジュールを 管理[かんり]している。	
V0000331523	店にライターを忘れました。	ライター	店[みせ]にライターを 忘[わす]れました。	
V0000331524	誰かが私のカバンを盗みました。	盗む	誰[だれ]かが 私[わたし]のカバンを 盗[ぬす]みました。	
V0000331525	私は生き物を殺すのが嫌いだ。	殺す	私[わたし]は 生[い]き 物[もの]を 殺[ころ]すのが 嫌[きら]いだ。	
V0000331526	逃げていた犯人が逮捕されました。	逮捕	逃[に]げていた 犯人[はんにん]が 逮捕[たいほ]されました。	
V0000331527	鳥が窓から逃げたよ。	逃げる	鳥[とり]が 窓[まど]から 逃[に]げたよ。	
V0000331528	彼は白いワイシャツを着ている。	ワイシャツ	彼[かれ]は 白[しろ]いワイシャツを 着[き]ている。	
V0000331529	2003年にイラクで戦争があった。	戦争	2003年[にせんさんねん]にイラクで 戦争[せんそう]があった。	
V0000331530	2社は互いに競争している。	競争	2社[にしゃ]は 互[たが]いに 競争[きょうそう]している。	
V0000331531	電車が込んでいる。	混む・込む	電車[でんしゃ]が 込[こ]んでいる。	
V0000331532	フランスの大統領は誰ですか。	大統領	フランスの 大統領[だいとうりょう]は 誰[だれ]ですか。	
V0000331533	朝、急いでシャワーを浴びました。	シャワー	朝[あさ]、 急[いそ]いでシャワーを 浴[あ]びました。	
V0000331534	ゴミを捨ててください。	捨てる	ゴミを 捨[す]ててください。	
V0000331535	道で財布を拾った。	拾う	道[みち]で 財布[さいふ]を 拾[ひろ]った。	
V0000331536	池に鯉がいます。	池	池[いけ]に 鯉[こい]がいます。	
V0000331537	新しい電池を入れましょう。	電池	新[あたら]しい 電池[でんち]を 入[い]れましょう。	
V0000331538	私はお昼にうどんを食べました。	うどん	私[わたし]はお 昼[ひる]にうどんを 食[た]べました。	
V0000331539	あの池はとても深い。	深い	あの 池[いけ]はとても 深[ふか]い。	
V0000331540	このプールの深さは2メートルです。	深さ	このプールの 深[ふか]さは 2[に]メートルです。	
V0000331541	この川は浅いです。	浅い	この 川[かわ]は 浅[あさ]いです。	
V0000331542	途中で財布を落としました。	落とす	途中[とちゅう]で 財布[さいふ]を 落[お]としました。	
V0000331543	今日はごみの日だ。	ごみ	今日[きょう]はごみの 日[ひ]だ。	
V0000331544	彼女はダイエットのために泳いでいる。	泳ぐ	彼女[かのじょ]はダイエットのために 泳[およ]いでいる。	
V0000331545	母は健康のために水泳をしている。	水泳	母[はは]は 健康[けんこう]のために 水泳[すいえい]をしている。	
V0000331546	ラジオから美しい音楽が流れています。	流れる	ラジオから 美[うつく]しい 音楽[おんがく]が 流[なが]れています。	
V0000331547	去年はスニーカーが流行りました。	流行る	去年[きょねん]はスニーカーが 流行[はや]りました。	
V0000331548	スーパーマーケットで人参を買った。	スーパーマーケット	スーパーマーケットで 人参[にんじん]を 買[か]った。	
V0000331549	早く顔を洗いなさい。	洗う	早[はや]く 顔[かお]を 洗[あら]いなさい。	
V0000331550	洗面所で顔を洗った。	洗面所	洗面所[せんめんじょ]で 顔[かお]を 洗[あら]った。	
V0000331551	水と油は混ざらない。	油	水[みず]と 油[あぶら]は 混[ま]ざらない。	
V0000331552	ボートが川に沈んだ。	沈む	ボートが 川[かわ]に 沈[しず]んだ。	
V0000331553	ハンカチで手をふきました。	ハンカチ	ハンカチで 手[て]をふきました。	
V0000331554	明日、久しぶりに友達に会います。	久しぶり	明日[あした]、 久[ひさ]しぶりに 友達[ともだち]に 会[あ]います。	
V0000331555	グラスに氷を入れてください。	氷	グラスに 氷[こおり]を 入[い]れてください。	
V0000331556	クーラーで体が冷えた。	冷える	クーラーで 体[からだ]が 冷[ひ]えた。	
V0000331557	頭を冷やしなさい。	冷やす	頭[あたま]を 冷[ひ]やしなさい。	
V0000331558	私はビデオテープを30本持っています。	ビデオテープ	私[わたし]はビデオテープを 30本持[さんじゅっぽん も]っています。	
V0000331559	彼への気持ちが冷めた。	冷める	彼[かれ]への 気持[きも]ちが 冷[さ]めた。	
V0000331560	寒い朝は道路が凍ります。	凍る	寒[さむ]い 朝[あさ]は 道路[どうろ]が 凍[こお]ります。	
V0000331561	飲み物は冷蔵庫にあります。	冷蔵庫	飲[の]み 物[もの]は 冷蔵庫[れいぞうこ]にあります。	
V0000331562	夕方は涼しくなりますよ。	涼しい	夕方[ゆうがた]は 涼[すず]しくなりますよ。	
V0000331563	朝、近所をぶらぶらした。	ぶらぶら	朝[あさ]、 近所[きんじょ]をぶらぶらした。	
V0000331564	彼は服を汚した。	汚す	彼[かれ]は 服[ふく]を 汚[よご]した。	
V0000331565	靴の汚れを落としました。	汚れ	靴[くつ]の 汚[よご]れを 落[お]としました。	
V0000331566	エプロンをしないと服が汚れます。	汚れる	エプロンをしないと 服[ふく]が 汚[よご]れます。	
V0000331567	ここは景色がきれいですね。	景色	ここは 景色[けしき]がきれいですね。	
V0000331568	私はアナウンサーになりたい。	アナウンサー	私[わたし]はアナウンサーになりたい。	
V0000331569	私は彼から大きな影響を受けました。	影響	私[わたし]は 彼[かれ]から 大[おお]きな 影響[えいきょう]を 受[う]けました。	
V0000331570	波がきらきら光っていました。	光る	波[なみ]がきらきら 光[ひか]っていました。	
V0000331571	私の姉はすぐ太ります。	太る	私[わたし]の 姉[あね]はすぐ 太[ふと]ります。	
V0000331572	太陽が雲に隠れた。	太陽	太陽[たいよう]が 雲[くも]に 隠[かく]れた。	
